Transaction_ID,Transaction_date,Telco,Device_ID,Amount,Currency,Country,Bag_Size,Quantity,Mass
MP220425.1645.J86230,2022/04/25 16:45,AIRTEL,310050983,20,ZMW,ZM,5,1,5
MP220425.1705.J87451,2022/04/25 17:05,AIRTEL,310034829,130,ZMW,ZM,50,1,50
MP220426.1028.H40553,2022/04/26 10:28,AIRTEL,310052117,130,ZMW,ZM,50,1,50
MP220426.1108.I41487,2022/04/26 11:08,AIRTEL,310055200,60,ZMW,ZM,20,1,20
MP220426.1358.J42247,2022/04/26 13:58,AIRTEL,310038500,60,ZMW,ZM,20,1,20
MP220426.1449.I54791,2022/04/26 14:49,AIRTEL,310035335,130,ZMW,ZM,50,1,50
MP220427.1328.J12479,2022/04/27 13:28,AIRTEL,310033080,60,ZMW,ZM,20,1,20
MP220427.1626.G25277,2022/04/27 16:26,AIRTEL,310051148,60,ZMW,ZM,20,1,20
MP220629.1805.I00697,2022/04/29 00:00,AIRTEL,310030690,130,ZMW,ZM,30,1,30
MP220429.1207.L79693,2022/04/29 12:07,AIRTEL,310032638,60,ZMW,ZM,20,1,20
MP220429.1416.H70294,2022/04/29 14:16,AIRTEL,310052409,20,ZMW,ZM,5,1,5
MP220429.1534.G64735,2022/04/29 15:34,AIRTEL,310054863,60,ZMW,ZM,20,1,20
MP220801.1536.J46438,2022/04/30 00:00,AIRTEL,310022816,130,ZMW,ZM,30,1,30
MP220503.0833.G58375,2022/05/03 08:33,AIRTEL,310051588,220,ZMW,ZM,50,2,100
MP220503.0903.G59500,2022/05/03 09:03,AIRTEL,310033606,45,ZMW,ZM,20,1,20
MP220503.0904.G59588,2022/05/03 09:04,AIRTEL,310033606,110,ZMW,ZM,50,1,50
MP220503.0913.L96073,2022/05/03 09:13,AIRTEL,310030334,45,ZMW,ZM,20,1,20
MP220503.0928.H72523,2022/05/03 09:28,AIRTEL,310038113,135,ZMW,ZM,20,3,60
MP220503.0932.G61071,2022/05/03 09:32,AIRTEL,310054707,110,ZMW,ZM,50,1,50
MP220503.1004.L99204,2022/05/03 10:04,AIRTEL,310035008,90,ZMW,ZM,20,2,40
MP220503.1032.L00859,2022/05/03 10:32,AIRTEL,310037589,45,ZMW,ZM,20,1,20
MP220503.1038.I73856,2022/05/03 10:38,AIRTEL,310038500,110,ZMW,ZM,50,1,50
MP220503.1116.H78650,2022/05/03 11:16,AIRTEL,310036725,90,ZMW,ZM,20,2,40
MP220503.1226.G70776,2022/05/03 12:26,AIRTEL,310034665,90,ZMW,ZM,20,2,40
MP220503.1327.L11262,2022/05/03 13:27,AIRTEL,310002192,45,ZMW,ZM,20,1,20
MP220503.1347.I83832,2022/05/03 13:47,AIRTEL,310038338,45,ZMW,ZM,20,1,20
MP220503.1351.J66482,2022/05/03 13:51,AIRTEL,310054538,180,ZMW,ZM,20,4,80
MP220503.1409.I85121,2022/05/03 14:09,AIRTEL,310034885,220,ZMW,ZM,50,2,100
MP220503.1416.J67704,2022/05/03 14:16,AIRTEL,310054519,135,ZMW,ZM,20,3,60
MP220503.1417.H89248,2022/05/03 14:17,AIRTEL,310052409,180,ZMW,ZM,20,4,80
MP220503.1425.J68072,2022/05/03 14:25,AIRTEL,310050345,95,ZMW,ZM,20,2,40
MP220503.1433.G78033,2022/05/03 14:33,AIRTEL,310034709,84,ZMW,ZM,20,2,40
MP220503.1504.G79451,2022/05/03 15:04,AIRTEL,310035650,45,ZMW,ZM,20,1,20
MP220503.1506.J70503,2022/05/03 15:06,AIRTEL,310072861,45,ZMW,ZM,20,1,20
MP220503.1512.H93452,2022/05/03 15:12,AIRTEL,310034665,110,ZMW,ZM,50,1,50
MP220503.1513.H93505,2022/05/03 15:13,AIRTEL,310001910,90,ZMW,ZM,20,2,40
MP220503.1600.I90726,2022/05/03 16:00,AIRTEL,310054739,110,ZMW,ZM,50,1,50
MP220503.1603.I90878,2022/05/03 16:03,AIRTEL,310038398,110,ZMW,ZM,50,1,50
