CRM_Transaction_IDs,Transaction_Amount,Addon_Value,Date,Wallet_Operator,Size,Quatity,Total_Kgs,Device_ID,UID-Connected,isNFT,isBetterCooking,Repossesed_Device_IDs,isClaimed
2994029793,130.00,130.00,5/11/22,MTN,30,1,30,310023074,820091862,Yes,No,820091862,Yes
2994076133,130.00,130.00,5/11/22,MTN,30,1,30,310014681,820091447,Yes,No,820091447,Yes
2994198161,130.00,130.00,5/11/22,MTN,30,1,30,310030183,820092451,Yes,No,820092451,Yes
MP220511.1458.J26224,130.00,130.00,5/11/22,Airtel,30,1,30,310000494,820091471,Yes,No,820091471,Yes
MP220511.1551.K00689,130.00,130.00,5/11/22,Airtel,30,1,30,0,820091945,No,No,820091945,No
2994424986,130.00,130.00,5/11/22,MTN,30,1,30,310022482,820091553,No,No,820091553,No
MP220511.1604.H80094,130.00,130.00,5/11/22,Airtel,30,1,30,310021355,820091441,No,No,820091441,No
2994464572,130.00,130.00,5/11/22,MTN,30,1,30,,,No,No,820091864,No
MP220511.1613.J30077,130.00,130.00,5/11/22,Airtel,30,1,30,310010002,820092440,No,No,820092440,No
2994530721,130.00,130.00,5/11/22,MTN,30,1,30,310022125,820092137,Yes,No,820092137,Yes
2994553817,130.00,130.00,5/11/22,MTN,30,1,30,310015341,820092323,No,No,820092323,No
2994582622,130.00,130.00,5/11/22,MTN,30,1,30,310021225,820092455,Yes,No,820092455,Yes
MP220511.1646.L48959,130.00,130.00,5/11/22,Airtel,30,1,30,0,820091867,No,No,820091867,No
MP220511.1712.L50276,130.00,130.00,5/11/22,Airtel,30,1,30,310003455,820092383,Yes,No,820092383,Yes
MP220511.1722.J33968,130.00,130.00,5/11/22,Airtel,30,1,30,,,No,No,820092031,No
2994762999,130.00,130.00,5/11/22,MTN,30,1,30,310000727,820091445,Yes,No,820091445,Yes
2994812846,130.00,130.00,5/11/22,MTN,30,1,30,310022888,820092038,Yes,No,820092038,Yes
MP220511.1923.I46109,130.00,130.00,5/11/22,Airtel,30,1,30,0,820092136,No,No,820092136,No
MP220511.1930.H92826,130.00,130.00,5/11/22,Airtel,30,1,30,310022943,820091548,No,No,820091548,No
MP220511.2038.I52672,130.00,130.00,5/11/22,Airtel,30,1,30,310020644,820091502,No,No,820091502,No
MP220512.1456.I23230,130.00,130.00,5/12/22,Airtel,30,1,30,310028941,820092382,No,No,820092382,
MP220513.1047.L09883,10.00,130.00,5/13/22,Airtel,30,1,30,,,No,No,820091464,No
MP220513.1059.H11363,130.00,130.00,5/13/22,Airtel,30,1,30,310092576,820091541,No,No,820091541,No
MP220513.1107.G10679,130.00,130.00,5/13/22,Airtel,30,1,30,0,820092446,No,No,820092446,No
MP220513.1119.J11800,130.00,130.00,5/13/22,Airtel,30,1,30,0,820092330,No,No,820092330,No
2998155920,130.00,130.00,5/13/22,MTN,30,1,30,310025310,820091479,Yes,No,820091479,Yes
MP220513.1127.K10670,130.00,130.00,5/13/22,Airtel,30,1,30,,,No,No,820091559,No
MP220513.1139.G00213,130.00,130.00,5/13/22,Airtel,30,1,30,310014602,820091549,No,No,820091549,No
2998295895,130.00,130.00,5/13/22,MTN,30,1,30,310023118,820092449,Yes,No,820092449,Yes
MP220513.1236.K02667,130.00,130.00,5/13/22,Airtel,30,1,30,0,820091856,No,No,820091856,No
2998329343,130.00,130.00,5/13/22,MTN,30,1,30,,,No,No,820092389,No
2998346190,130.00,130.00,5/13/22,MTN,30,1,30,,,No,No,820091552,No
MP220513.1255.J03144,130.00,130.00,5/13/22,Airtel,30,1,30,0,820091473,No,No,820091473,No
MP220513.1301.L03317,130.00,130.00,5/13/22,Airtel,30,1,30,310020954,820092447,Yes,No,820092447,Yes
MP220513.1314.I04019,130.00,130.00,5/13/22,Airtel,30,1,30,310007918,820091505,Yes,No,820091505,Yes
2998415740,130.00,130.00,5/13/22,MTN,30,1,30,310007728,820091963,Yes,No,820091963,Yes
MP220513.1330.I04876,130.00,130.00,5/13/22,Airtel,30,1,30,31002444,820091509,No,No,820091509,No
MP220513.1337.L04553,130.00,130.00,5/13/22,Airtel,30,1,30,310025085,820091440,Yes,No,820091440,Yes
2998580616,130.00,130.00,5/13/22,MTN,30,1,30,310022473,820091544,No,No,820091544,No
MP220513.1429.J06711,130.00,130.00,5/13/22,Airtel,30,1,30,310036958,820091969,Yes,No,820091969,Yes
MP220513.1451.G08262,130.00,130.00,5/13/22,Airtel,30,1,30,310017935,820091477,Yes,No,820091477,Yes
MP220513.1459.H09233,130.00,130.00,5/13/22,Airtel,30,1,30,310021992,820092445,Yes,No,820091392,Yes
MP220513.1509.L07930,130.00,130.00,5/13/22,Airtel,30,1,30,310025398,820092384,Yes,No,820092384,Yes
MP220513.1613.L10976,130.00,130.00,5/13/22,Airtel,30,1,30,310022931,820091949,Yes,No,820091949,Yes
MP220516.1017.G49980,130.00,130.00,5/16/22,Airtel,30,1,30,,820047285,Yes,No,,
3004147416,130.00,130.00,5/16/22,MTN,30,1,30,,,No,No,820091557,No
3004166277,130.00,130.00,5/16/22,MTN,30,1,30,,,No,No,820091947,No
3004392781,130.00,130.00,5/16/22,MTN,30,1,30,310002511,820091944,Yes,No,820091944,Yes
3004471073,130.00,130.00,5/16/22,MTN,30,1,30,310014791,820091941,Yes,No,820091941,Yes
MP220516.1328.I55957,130.00,130.00,5/16/22,Airtel,30,1,30,,,No,No,820091869,
MP220516.1502.K59372,130.00,130.00,5/16/22,Airtel,30,1,30,310018331,820092388,Yes,No,820092388,
MP220516.1529.I61287,60.00,60.00,5/16/22,Airtel,20,1,20,,820050730,Yes,No,,
3010500940,130.00,130.00,5/19/22,MTN,30,1,30,310025569,820091555,No,No,820091555,No
3010677526,130.00,130.00,5/19/22,MTN,30,1,30,310025198,820091962,Yes,No,820091962,Yes
MP220519.0910.L07318,260.00,260.00,5/19/22,Airtel,30,2,60,,,No,No,820092114,
MP220519.0926.L08410,130.00,130.00,5/19/22,Airtel,30,1,30,310035508,820092036,Yes,No,820092036,
